statecode,countyname,bldg_count_Flex,bldg_count_Healthcare,bldg_count_Hospitality,bldg_count_Industrial,bldg_count_Multifamily,bldg_count_Office,bldg_count_Retail,bldg_count_Specialty,bldg_count_Entertainment,area_sum_Flex,area_sum_Healthcare,area_sum_Hospitality,area_sum_Industrial,area_sum_Multifamily,area_sum_Office,area_sum_Retail,area_sum_Specialty,area_sum_Entertainment
KY,Simpson County,0.0,1.0,3.0,36.0,16.0,29.0,96.0,6.0,0.0,0.0,32000.0,84100.0,3639000.0,1025900.0,148400.0,1257300.0,87800.0,0.0
KY,Spencer County,1.0,2.0,1.0,15.0,12.0,22.0,67.0,11.0,2.0,111300.0,128900.0,3600.0,100600.0,251900.0,90100.0,406800.0,155700.0,31100.0
KY,Taylor County,3.0,3.0,6.0,32.0,9.0,25.0,115.0,13.0,2.0,11900.0,61400.0,111000.0,1812900.0,4152900.0,150600.0,1281500.0,213900.0,3300.0
KY,Todd County,0.0,0.0,0.0,8.0,2.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,537700.0,42000.0,0.0,159500.0,13500.0,0.0
KY,Trigg County,0.0,1.0,2.0,11.0,2.0,7.0,40.0,4.0,1.0,0.0,15600.0,36400.0,755600.0,8600.0,30700.0,210800.0,25800.0,2600.0
KY,Trimble County,0.0,1.0,1.0,0.0,2.0,0.0,12.0,3.0,0.0,0.0,22500.0,3200.0,0.0,75400.0,0.0,73800.0,24500.0,0.0
KY,Union County,0.0,1.0,2.0,1.0,6.0,8.0,31.0,5.0,1.0,0.0,18200.0,16000.0,18000.0,196100.0,108400.0,396900.0,15100.0,9200.0
KY,Warren County,11.0,13.0,24.0,264.0,141.0,228.0,453.0,35.0,4.0,156000.0,625600.0,1218100.0,15327600.0,9496900.0,2977800.0,7430700.0,725300.0,31700.0
KY,Washington County,1.0,1.0,0.0,11.0,3.0,10.0,36.0,6.0,0.0,6900.0,19800.0,0.0,764200.0,27600.0,45800.0,409200.0,201200.0,0.0
KY,Wayne County,0.0,0.0,2.0,7.0,3.0,1.0,45.0,3.0,0.0,0.0,0.0,50500.0,747200.0,73400.0,8700.0,973300.0,19100.0,0.0
KY,Webster County,0.0,2.0,0.0,7.0,4.0,3.0,18.0,7.0,0.0,0.0,17800.0,0.0,236600.0,138000.0,10500.0,104400.0,12600.0,0.0
